2.323935031890869,11,78,68,10,"95, 35, 34","55, 53, 14","23, 90",9,"68, 53, 40, 17",53
2.4754838943481445,8,63,92,42,"63, 27, 16","33, 18, 7","41, 30",96,"27, 2, 42, 78",71
2.51373291015625,47,80,62,28,"82, 36, 30","22, 56, 57","56, 13",38,"53, 44, 18, 81",89
2.609551191329956,37,36,53,36,"89, 22, 86","15, 72, 65","54, 56",29,"87, 24, 3, 92",38
2.70422101020813,47,17,67,55,"68, 5, 8","14, 42, 67","9, 71",100,"47, 58, 65, 15",88
2.7978451251983643,81,4,2,61,"29, 77, 77","57, 44, 49","6, 5",21,"70, 14, 58, 89",22
2.8938241004943848,100,3,32,93,"64, 31, 21","91, 55, 50","25, 45",51,"8, 22, 46, 64",82
2.989743947982788,100,50,57,13,"91, 24, 23","58, 50, 74","41, 52",14,"11, 47, 39, 25",7
3.0841269493103027,38,83,79,79,"96, 57, 55","55, 13, 89","73, 6",23,"7, 39, 36, 45",76
3.180156946182251,38,88,78,17,"61, 76, 58","85, 62, 50","81, 60",6,"30, 73, 55, 7",98
3.2790069580078125,99,58,22,46,"42, 31, 25","20, 61, 62","26, 16",72,"94, 5, 84, 81",55
3.3805360794067383,72,98,47,6,"92, 74, 68","66, 90, 43","9, 58",90,"1, 83, 75, 99",30
3.4799559116363525,47,79,93,82,"5, 80, 77","100, 8, 98","92, 69",65,"13, 46, 84, 41",30
3.579782009124756,53,89,32,47,"58, 87, 84","11, 42, 85","38, 78",4,"87, 74, 42, 48",81
3.679365873336792,91,86,44,76,"40, 90, 97","39, 17, 100","55, 26",69,"26, 57, 19, 45",73
3.7797770500183105,38,17,56,32,"57, 37, 51","70, 73, 71","26, 58",66,"81, 34, 35, 95",79
3.8802030086517334,88,11,41,50,"53, 28, 81","19, 7, 45","81, 21",96,"63, 98, 32, 90",54
3.9804270267486572,32,66,87,51,"92, 83, 69","48, 10, 26","77, 32",91,"23, 15, 1, 68",91
4.122923135757446,66,76,12,52,"13, 87, 84","71, 37, 2","88, 44",98,"7, 7, 20, 42",84
4.180570125579834,61,69,78,75,"5, 35, 6","17, 21, 10","37, 34",75,"36, 40, 24, 42",33
4.279864072799683,25,84,54,59,"62, 20, 16","87, 30, 21","72, 74",26,"8, 90, 49, 41",15
4.379696846008301,71,58,69,93,"67, 93, 96","7, 75, 35","49, 5",54,"73, 60, 54, 57",74
4.480224132537842,59,42,84,55,"84, 83, 6","89, 30, 35","65, 60",64,"46, 37, 33, 54",48
